Iteration,test_preds,estimated_params,posterior_means
11,"[-0.30731958, 0.9922494, 0.98788667, 0.42199102, 0.84070146, 0.7524339, -0.34219974, 1.0174477, 0.9933166, 0.063471, 0.7864028, 0.7938849, -0.58208483, -0.35509917, -0.71910167, -0.49598977, -1.1439109, -0.76535004, -0.85121, -0.83876246, -0.5973557, -0.72372323, -0.60119444, 0.11104389, -0.76384133, -0.93816066, -0.32012647, -0.68274504, -0.63393897, 0.20042203, 0.4750413, 0.6074565, 0.69855, 0.81633127, 0.7012333, 0.8383227, 0.6503975, 0.7974075, 0.735609, 0.51237035, -0.008368183, 0.5367562, 0.7118226, 0.592519, 0.6757513, 0.45715937, 0.3314101, -0.8379245, -0.4126135, -0.6304434, -0.19783407, -0.55450004]","[2.2747116, 1.9712287, 1.6976453, 1.7169058, 3.1307244, 2.221358, 2.309955, 2.276137, 0.8615949, 1.749638]","[4.793657302856445, 3.4300754070281982, 1.481244683265686, 3.653625249862671, 3.148190498352051, 3.532620906829834, 2.549764633178711, 3.593571662902832, 0.9748544096946716, 2.5251662731170654]"
12,"[-0.9657236, -0.53636616, -0.42018923, 1.2077, 1.0553504, 1.0956734, 1.0787122, -0.6997455, -0.507018, 1.1758951, 0.84664464, 0.97981274, 0.9450516, -0.25710726, 0.5460092, 0.39876086, 0.50521874, 0.22076216, 0.26045692, 0.16735457, -0.9771513, -0.8857522, -0.89974016, -0.8924117, 0.3589436, 0.43690434, -1.0315118, -0.89483076, -0.99365747, -0.8469397, -0.16428728, -0.47352654, -0.42408544, -0.28105223, -0.33083805, -0.07635272, 0.1218006, 0.86596256, 0.8958477, 1.1622189, 1.0255885, -0.024037275, -0.050822254, 1.1229833, 1.18449, 1.1635884, 0.8119252, 0.501531, 0.45195308, 0.4757857, 0.1031421, 0.42300054]","[3.9704356, 4.536132, 3.742746, 3.7067883, 4.546533, 3.2986817, 2.1194758, 0.9334061, 3.3607614, 2.8309567]","[4.6874237060546875, 4.263128280639648, 4.489917755126953, 3.8327605724334717, 4.029033660888672, 3.5529797077178955, 0.9188823103904724, 2.754798173904419, 3.316509485244751, 2.298051357269287]"
13,"[0.25322834, 0.48544258, 0.3920055, -2.1848247, -0.56288254, -0.55936515, -0.9564353, 0.7444964, 0.4349483, -2.0692923, -0.056733076, -0.40164167, -0.9536305, 1.1805749, 0.44714373, 0.7704006, 0.44446093, 0.855651, -0.36545488, -0.21228188, 1.978007, 0.45189714, 0.3640414, 0.7001021, -0.5519641, -0.14589632, 1.9789546, 0.19634461, 0.3682469, 0.658754, -0.7794884, -0.68255955, -0.67647624, -0.7700803, -0.7617922, 0.045640122, -0.13272436, -1.8755162, -0.43524224, -0.547387, -0.53790975, 0.19487008, -0.3506263, -1.8061639, -0.5609864, -0.43097487, -0.13711916, 0.54892284, 0.78815585, 0.47413304, 0.94684356, 0.72699517]","[0.4950352, 1.1236566, 0.1777, 1.5830945, 1.8451365, 1.6244658, 2.7150962, 0.5156883, 2.1618059, 1.5400132]","[0.12996593117713928, 4.803134918212891, 0.2756391167640686, 4.867477893829346, 4.197616100311279, 0.23114898800849915, 4.884485244750977, 1.0279024839401245, 3.8457398414611816, 4.8970842361450195]"
14,"[0.26643535, -1.2363814, -1.3978465, -0.22168583, -0.6110395, -0.56104016, -0.11154646, -1.2297264, -1.2860354, 0.01629767, -0.69384533, -0.49767092, 0.064568944, -0.08082121, 0.4544219, 0.3510187, 0.5350843, 0.51535606, 1.2562072, 1.4804709, 0.30584204, 0.3727046, 0.36860213, 0.21751165, 1.0909423, 1.5943544, 0.0605361, 0.50286454, 0.39890012, 0.13430467, -0.35553104, -0.44136962, -0.6317597, -0.56286865, -0.5474765, -1.371909, -1.1637964, -0.42099214, -0.35416532, -0.5017994, -0.8058246, -1.1262296, -0.88835657, -0.20431297, -0.59739536, -0.5057917, -0.9052589, 0.73992115, 0.45459685, 0.76511794, 0.42608005, 0.5836112]","[4.714749, 3.2373862, 1.9814112, 3.7911332, 1.7179645, 3.7266612, 1.5675639, 3.9960334, 3.968505, 3.5191958]","[3.9814679622650146, 4.086395263671875, 1.3570261001586914, 0.9377341270446777, 3.2968854904174805, 3.8727831840515137, 0.30867066979408264, 4.690907955169678, 4.629014492034912, 4.275214672088623]"
15,"[-0.96290356, 0.77795833, 0.8344869, 0.45041996, 0.7760619, 0.7738947, 0.5970374, 0.77209175, 0.82596266, 0.27196506, 0.8098206, 0.7946259, 0.4798787, 0.8599779, 0.3846458, 0.58630294, 0.5963417, 0.4279619, -0.7215693, -0.81358194, -0.6787267, -0.675987, -0.67129785, -0.630426, -0.7304027, -0.8963074, -0.33425963, -0.72429633, -0.75907195, -0.65985245, -0.5764822, -0.37981045, -0.35309643, -0.5364302, -0.37211025, 0.7855475, 0.77065337, 1.0374829, 0.67477036, 0.7722595, 0.860118, 0.9141933, 0.7161474, 0.17787772, 0.7707992, 0.78710276, 1.0816345, 0.34774974, 0.20698203, 0.026981609, 0.37982628, 0.15917428]","[2.7813053, 2.4419265, 2.9788914, 2.5488524, 3.2715793, 2.6447089, 3.2964892, 2.563723, 3.0859199, 2.5501788]","[3.377871513366699, 2.5747251510620117, 2.959333896636963, 3.1595590114593506, 2.1608948707580566, 3.289618492126465, 3.3393895626068115, 2.871394634246826, 3.599222421646118, 2.610478401184082]"
16,"[-0.5113755, -0.47273296, -0.33691704, 0.90467125, 1.134861, 0.98895824, -2.0755334, 0.17401318, -0.37019885, 0.849483, 1.0703422, 1.0697225, -2.0862198, 0.36373213, 0.51201355, 0.6553779, -0.18669935, 0.40035444, 0.4375579, 0.22749026, -0.83213323, -0.91858894, -0.67109495, 1.648662, 0.032123167, 0.47646376, -0.80186707, -0.96407413, -0.83632755, 1.673616, -0.35932148, -0.4552006, -0.49013495, -0.32947397, -0.4222769, -0.8182564, -0.30047128, 0.9050431, 0.88985157, 0.42701942, -1.4082952, -0.99643064, -0.5381345, 0.9159785, 1.1612014, 0.6637791, -1.1084927, 0.30314976, 0.4016315, 0.24965379, 0.71572566, 0.38445532]","[2.663363, 2.775722, 0.7040903, 1.0415009, 4.7184243, 4.5572844, 0.56778365, 1.330594, 2.1872752, 1.5976382]","[3.6673190593719482, 2.710496187210083, 0.8750061988830566, 0.6351110935211182, 4.565503120422363, 4.190844535827637, 1.7021586894989014, 1.2800838947296143, 3.108351469039917, 1.2253444194793701]"
17,"[0.4058724, 0.55815786, 0.5240061, -0.37757993, -1.2578697, -1.2775251, 0.9015259, 0.20757179, 0.49187315, -0.28188857, -1.2856041, -1.4369156, 1.0603576, -0.45355403, -0.36521482, -0.6137297, -0.018513933, -0.38536066, -0.6186578, -0.5310132, 0.39273205, 1.1542505, 0.9158003, -0.7520622, -0.37526542, -0.57763654, 0.22023356, 1.1298842, 1.2159343, -0.76575875, 0.22382198, 0.14993453, 0.32830065, 0.25315773, 0.21975435, 0.9012837, 0.54243225, -0.6625787, -1.2844665, -0.7992541, 0.7249105, 0.7549867, 0.6609662, -0.30756423, -1.1318401, -0.9885663, 0.27680558, -0.15922204, 0.021747813, 0.13300017, -0.33231658, -0.08005427]","[2.7934945, 2.6517777, 3.233273, 2.716878, 1.1295526, 2.3148766, 2.99895, 2.6844409, 2.1510582, 2.276738]","[1.5439947843551636, 2.571493625640869, 2.511094570159912, 3.1324052810668945, 1.7713220119476318, 2.4854445457458496, 1.9538346529006958, 0.9944652318954468, 1.8701386451721191, 0.6258759498596191]"
18,"[-0.112425186, -0.9566332, -1.0115099, 0.27306268, 0.68825173, 0.6023965, -0.40782627, -0.9499508, -1.0196335, 0.25512648, 0.5731755, 0.61940247, -0.6238941, -0.4353514, -0.14953409, -0.03291053, -0.3664653, -0.06903487, 0.8849445, 1.0275866, -0.28317347, -0.6667447, -0.52407396, 0.31650645, 0.85520434, 1.2798103, -0.31054136, -0.6072089, -0.6152649, 0.48502067, 0.12878466, 0.21799652, 0.04268253, 0.22967406, 0.01031655, -0.9308777, -0.88311577, 0.3296388, 0.7601521, 0.45359817, -0.46930033, -1.0571593, -0.78451514, 0.41991955, 0.69059694, 0.5700162, -0.38886213, -0.03127234, -0.26179004, -0.10855928, -0.112338476, -0.12870158]","[1.9037876, 2.4123127, 1.9902318, 1.1421646, 2.7790222, 0.56891644, 0.905387, 2.1716833, 1.7234992, 1.6225187]","[3.5628411769866943, 4.582344055175781, 1.3585913181304932, 1.1581279039382935, 2.7708380222320557, 3.675574541091919, 2.1949973106384277, 2.6473233699798584, 1.4358015060424805, 0.6032540798187256]"
19,"[-0.8644473, 0.5699873, 0.6136531, 0.3344769, -0.108091265, -0.07543288, 0.52708757, 0.59588987, 0.6075335, 0.5066261, -0.005855306, -0.1457579, 0.59512687, 0.977744, 1.0995445, 0.9007132, 1.0538387, 0.94628704, -0.54600424, -0.6874111, -0.4340585, 0.029350169, -0.08578083, -0.5497915, -0.6080215, -0.7365697, -0.47191387, -0.14325528, 0.0049684756, -0.60027194, -0.8329366, -1.0414889, -0.86983657, -0.92494655, -0.87645483, 0.57115126, 0.7447511, 0.47402576, -0.13121107, 0.14989884, 0.6236885, 0.788166, 0.6483614, 0.31511024, 0.24834977, 0.14092955, 0.6289586, 0.9072416, 1.049024, 0.8152283, 0.7735156, 0.96220505]","[3.4174585, 1.7575083, 2.8486369, 2.0045946, 2.2883117, 3.133536, 3.4613464, 1.7236072, 4.0951896, 4.1038337]","[1.8150687217712402, 3.733633518218994, 3.4241888523101807, 1.9713205099105835, 2.625822067260742, 4.2902512550354, 3.949835777282715, 2.911747455596924, 4.59422492980957, 3.8133246898651123]"
20,"[-0.6317166, -0.22129646, -0.077334955, 0.7771224, 0.008227009, -0.0030812626, 0.49229318, -0.28243032, -0.14666304, 0.8933749, -0.061581526, -0.032106265, 0.52090716, 0.3404749, 0.70981866, 0.45076612, 0.66887575, 0.56321496, 0.042145338, -0.1557732, -0.65938246, -0.12592992, -0.12677957, -0.4616643, 0.07328708, -0.018131291, -0.7452009, -0.14795412, -0.110678, -0.4462238, -0.46990877, -0.6220103, -0.54773706, -0.5147155, -0.56174314, 0.08001164, 0.37784326, 0.54086256, 0.059123833, 0.14803661, 0.44544765, 0.11589859, 0.2158967, 0.6628179, 0.24715742, 0.18946692, 0.24203952, 0.6054877, 0.51628315, 0.57046056, 0.3131905, 0.542962]","[4.3405027, 3.8722432, 3.6646507, 3.508639, 3.0835176, 3.5513065, 3.6131313, 3.5793068, 3.8462577, 3.7890363]","[3.2348999977111816, 3.4170477390289307, 2.161696672439575, 1.2625526189804077, 2.811290979385376, 2.3743505477905273, 2.4309568405151367, 2.857809543609619, 2.437993288040161, 4.020680904388428]"
21,"[1.134565, 0.65631366, 0.5135684, -1.3511245, -0.18557103, -0.08280656, -0.15664324, 0.5952604, 0.5917288, -1.6318467, -0.19194804, -0.14396153, -0.28947458, -0.8499556, -1.942657, -1.4897685, -1.528772, -1.4942925, -0.55991936, -0.3297347, 1.1189146, 0.08307202, 0.02738758, 0.09266938, -0.5435754, -0.41102606, 1.4830123, 0.32891795, 0.1825416, 0.04852741, 1.0943817, 1.9485593, 1.4363585, 1.2064209, 1.4943006, 0.40945548, 0.05174164, -1.0799327, -0.03911334, -0.24147396, -0.3699813, 0.45404273, 0.21931937, -1.2035086, -0.8528291, -0.52799505, -0.032425467, -1.7277143, -1.6880432, -1.4729282, -1.0193212, -1.6204484]","[0.99335665, 1.8411381, 1.7738607, 3.0680506, 1.8505522, 1.2504269, 2.1802206, 1.8940256, 0.73028266, 1.1398895]","[3.4062888622283936, 3.2695207595825195, 4.306326866149902, 4.28252649307251, 1.000710368156433, 0.44766756892204285, 2.308070182800293, 0.5121060013771057, 0.8068150281906128, 0.8550350069999695]"
22,"[-0.4429015, 0.21812914, -0.008361035, -1.0158058, 0.034940746, 0.24771799, 0.64029354, 0.15517455, 0.14000311, -0.9784145, 0.23484153, 0.31311473, 0.7011495, 0.6969588, 0.60149807, 0.8105113, 0.843085, 0.752615, -0.24023923, 0.10055819, 0.88332283, -0.13884422, -0.32428795, -0.59865016, -0.3152303, 0.00044981157, 0.8116837, -0.12048726, -0.3592726, -0.7236495, -0.66365707, -0.69389033, -0.82136744, -0.8592244, -0.7291355, 0.14187397, -0.26504833, -1.0056603, 0.19440913, 0.39112055, 0.58318686, 0.51136816, -0.11816742, -0.68743235, -0.10085963, 0.329734, 0.76968914, 0.72381586, 0.7732245, 0.772751, 0.7735548, 0.7873004]","[0.8149244, 1.3096545, 2.7916572, 0.958454, 2.1415582, 1.3182071, 1.1868098, 2.3848333, 3.1080682, 0.47280994]","[2.1125168800354004, 3.572256565093994, 3.019061803817749, 0.8715964555740356, 1.9720782041549683, 4.473897933959961, 1.3273921012878418, 0.6638801097869873, 3.46102237701416, 1.4503216743469238]"
23,"[0.42566898, 0.7911249, 0.95880514, 1.0293005, 0.6557483, 0.49436212, -0.6779521, 0.72383904, 0.8089851, 0.67204875, 0.49787304, 0.50854164, -0.9904735, -1.4240005, -1.630978, -1.5173677, -2.306263, -1.9251842, -0.7254632, -0.8682176, -0.98851585, -0.6007093, -0.4259223, 0.38746315, -0.49286875, -0.7767776, -0.79092276, -0.57567996, -0.39950198, 0.7921671, 1.7749468, 1.9220017, 2.1318786, 2.6654694, 2.196021, 0.75225234, 0.77336466, 1.015185, 0.5677449, 0.27093378, -0.101870865, 0.08867623, 0.65189356, 1.0830498, 0.7250477, 0.24211234, -0.24060436, -2.0409415, -1.6325685, -1.812208, -1.5513834, -1.6383778]","[4.275175, 1.5504826, 0.97243255, 2.893648, 2.7992656, 4.9599, 0.61828274, 3.757082, 0.29172158, 1.8571128]","[3.8853626251220703, 4.722426891326904, 0.7680754661560059, 4.059813022613525, 4.294998645782471, 4.77560567855835, 4.810240745544434, 3.306439161300659, 0.20504194498062134, 2.171072483062744]"
24,"[1.053999, -0.33385837, -0.3240398, 0.55478823, -0.9296888, -0.9048455, 0.2138737, -0.4320581, -0.436991, 0.61291444, -1.0918865, -1.2428926, 0.21116851, -1.1994407, -1.4895097, -1.8092148, -1.0324696, -1.4346671, 0.18986098, 0.105189264, -0.34368667, 0.7880285, 0.66274446, -0.17693596, 0.2511102, 0.321547, -0.55213654, 0.76767457, 1.0249016, -0.093867645, 1.1894802, 1.5831513, 1.9188324, 1.3182262, 1.3847148, -0.14139155, 0.14938696, 0.0054224357, -0.9642572, -0.7014745, -0.143206, -0.18888736, 0.17466488, 0.5946403, -0.4941426, -0.6909205, -0.4237123, -1.2928306, -2.1207564, -1.7870798, -1.8329934, -1.8489003]","[3.816803, 3.2766705, 2.9833617, 2.413167, 0.52668715, 2.4280329, 2.4508526, 1.4861149, 0.30352315, 1.4261906]","[1.0378315448760986, 2.2496981620788574, 4.885964393615723, 3.4737789630889893, 0.8000101447105408, 2.6238908767700195, 2.7559356689453125, 4.639568328857422, 1.640183448791504, 0.30362290143966675]"
25,"[-1.0083715, 0.61899585, 0.6037773, -0.39179352, 0.80593073, 0.7861103, 0.22567023, 0.7228178, 0.64751285, -0.4559131, 1.0190903, 1.0366875, 0.17311062, 1.2557764, 1.1045388, 1.3385803, 1.0303296, 1.0792426, -0.5509587, -0.540742, -0.020660475, -0.705402, -0.67471623, -0.36169857, -0.64219743, -0.5538654, 0.3081702, -0.70743763, -0.86871856, -0.44374296, -0.92955554, -1.0704072, -1.1295373, -1.0631629, -0.95946115, 0.46012577, 0.3734265, 0.52538717, 0.79204726, 0.72303057, 0.56844074, 0.631698, 0.19058177, -0.45376173, 0.4991583, 0.7828911, 0.96229637, 0.885644, 1.103595, 0.89220876, 0.99433285, 1.0354422]","[2.3703337, 0.1538658, 1.2785283, 1.5849301, 4.6426783, 1.5190309, 3.2742355, 2.0054991, 4.8153, 3.604848]","[2.262127637863159, 0.4708438217639923, 1.0769938230514526, 2.0631263256073, 4.926761150360107, 1.2707635164260864, 3.862788677215576, 0.500873327255249, 4.945274353027344, 3.3371176719665527]"
26,"[2.492711, -1.7637727, -1.5541781, 0.07909042, -0.92189825, -1.0118583, -0.58564836, -1.8075502, -1.9563336, 0.2540491, -1.3648106, -1.2699233, -0.552311, -3.1946974, -2.683605, -2.9795687, -2.4683325, -2.677093, 1.721712, 1.4890938, 0.12279166, 0.6409896, 0.811222, 0.6871303, 1.7954031, 2.1082947, -0.07335288, 1.1090943, 1.0513778, 0.8793725, 3.2662096, 2.8860984, 2.8811874, 2.8426888, 2.9737422, -1.7177925, -1.3206158, -0.38572124, -0.6196351, -1.0724708, -1.1950978, -1.9242002, -1.6132492, -0.23125525, -1.1621947, -1.1376604, -1.8031045, -2.5707874, -2.931596, -2.4019892, -3.1068969, -2.7970705]","[2.3519735, 3.0475252, 0.74388903, 3.5336533, 1.4980682, 0.97399044, 0.81090856, 1.0912045, 0.6876296, 0.5108985]","[2.039999008178711, 3.9324862957000732, 0.44182831048965454, 4.371701240539551, 1.7538930177688599, 0.7681702971458435, 1.5903743505477905, 0.24975097179412842, 0.6973328590393066, 0.49585169553756714]"
